rmse,position,seed
1.7808488607406616,CB,42
2.134450912475586,SS,42
1.5555493831634521,SS,42
1.3395613431930542,CB,42
0.6363034844398499,CB,42
2.572608709335327,CB,42
0.554976224899292,CB,42
0.7185830473899841,SS,42
1.9960708618164062,FS,42
0.5747207999229431,CB,42
0.5580161213874817,CB,42
0.6430416107177734,SS,42
0.730940580368042,SS,42
0.834363579750061,CB,42
1.0261174440383911,CB,42
5.168912410736084,CB,42
1.454695701599121,SS,42
1.3443294763565063,SS,42
3.350403070449829,CB,42
1.245866298675537,CB,42
0.7818809151649475,CB,42
0.9267703294754028,SS,42
0.8154197335243225,SS,42
1.0927293300628662,CB,42
1.1591876745224,CB,42
1.0020939111709595,CB,42
0.1291639804840088,SS,42
0.9993190765380859,SS,42
2.692462921142578,FS,42
1.6752686500549316,CB,42
1.3776062726974487,CB,42
1.795323371887207,SS,42
2.6235547065734863,SS,42
2.8115808963775635,CB,42
2.0237550735473633,CB,42
2.97176194190979,CB,42
2.0745468139648438,SS,42
1.574418544769287,SS,42
3.248791217803955,CB,42
1.8348569869995117,CB,42
1.1095906496047974,CB,42
0.7433067560195923,SS,42
2.534696102142334,SS,42
1.5344654321670532,CB,42
0.5069872736930847,CB,42
2.0514633655548096,CB,42
0.48132383823394775,SS,42
1.7999770641326904,SS,42
0.2515428066253662,FS,42
3.965644121170044,CB,42
1.745508074760437,CB,42
1.2330321073532104,SS,42
6.3526997566223145,SS,42
2.010793447494507,FS,42
3.400219202041626,CB,42
1.9565974473953247,CB,42
2.4059085845947266,SS,42
1.4671709537506104,SS,42
2.34021258354187,CB,42
3.986917495727539,CB,42
4.184256076812744,CB,42
0.37572285532951355,SS,42
1.2342767715454102,SS,42
2.112255096435547,CB,42
7.40736198425293,CB,42
1.8239142894744873,CB,42
5.592299938201904,SS,42
5.466960906982422,SS,42
5.36190128326416,FS,42
1.0049546957015991,CB,42
2.893667697906494,CB,42
3.3738222122192383,SS,42
1.0037920475006104,SS,42
3.7712621688842773,CB,42
0.9397045969963074,CB,42
1.1345936059951782,CB,42
0.9434817433357239,SS,42
1.0203648805618286,SS,42
1.0068316459655762,CB,42
0.5341491103172302,CB,42
1.2551862001419067,CB,42
0.328364759683609,CB,42
0.2445344626903534,SS,42
0.19763903319835663,FS,42
1.2441017627716064,CB,42
1.0847904682159424,CB,42
0.9664531350135803,CB,42
0.8444967865943909,SS,42
1.8647459745407104,FS,42
0.2396952211856842,CB,42
2.5107710361480713,CB,42
0.6964368224143982,FS,42
1.2609882354736328,SS,42
3.737227439880371,CB,42
0.8807295560836792,CB,42
1.0354011058807373,CB,42
1.522445559501648,FS,42
2.170100212097168,SS,42
0.9511120319366455,CB,42
1.1661649942398071,CB,42
0.82551109790802,CB,42
0.8003270030021667,SS,42
0.9822843670845032,SS,42
1.2541145086288452,CB,42
3.1304516792297363,CB,42
1.1814749240875244,CB,42
2.7468950748443604,SS,42
0.5230655670166016,SS,42
0.6904723048210144,CB,42
1.308638572692871,CB,42
1.2608977556228638,SS,42
0.9138924479484558,FS,42
0.7289336919784546,CB,42
1.0557055473327637,FS,42
0.8945143222808838,FS,42
1.7959425449371338,CB,42
0.8500885963439941,FS,42
0.6606588363647461,FS,42
1.2535886764526367,CB,42
0.47769594192504883,CB,42
1.189104437828064,SS,42
0.7398778200149536,FS,42
1.0888458490371704,CB,42
1.3625867366790771,CB,42
1.1690337657928467,SS,42
2.6242055892944336,FS,42
0.7498631477355957,CB,42
1.1300629377365112,CB,42
1.5032340288162231,CB,42
3.186500310897827,FS,42
3.2770750522613525,SS,42
1.8689241409301758,FS,42
2.634219169616699,CB,42
1.044601321220398,CB,42
1.0765076875686646,SS,42
0.8058210611343384,FS,42
1.0154439210891724,CB,42
0.22816795110702515,FS,42
2.2247860431671143,CB,42
1.1597126722335815,FS,42
1.309149980545044,SS,42
2.2162084579467773,FS,42
0.9654117822647095,CB,42
1.2841185331344604,FS,42
3.359450578689575,CB,42
1.4813297986984253,SS,42
1.7151952981948853,FS,42
1.1748197078704834,CB,42
1.3785998821258545,CB,42
0.26793545484542847,SS,42
1.1391346454620361,FS,42
0.6774637699127197,CB,42
0.549657940864563,FS,42
1.712761640548706,CB,42
0.9375951290130615,SS,42
1.0157090425491333,FS,42
0.3917543888092041,CB,42
6.11143159866333,FS,42
4.347200393676758,CB,42
6.245255470275879,SS,42
5.186586856842041,FS,42
8.375489234924316,CB,42
1.2055484056472778,CB,42
1.1378867626190186,SS,42
0.4735409915447235,FS,42
1.412894606590271,CB,42
1.4808118343353271,FS,42
0.7877156138420105,CB,42
1.0467374324798584,SS,42
0.4471185803413391,FS,42
1.1441856622695923,CB,42
0.5793988108634949,FS,42
0.6983712315559387,CB,42
0.8703224658966064,SS,42
0.6292497515678406,FS,42
0.947685718536377,CB,42
2.5586860179901123,CB,42
1.6622233390808105,SS,42
3.8391342163085938,FS,42
2.329075336456299,CB,42
1.0538384914398193,CB,42
2.099374771118164,SS,42
1.642642617225647,CB,42
0.6048387289047241,FS,42
1.7559926509857178,FS,42
2.1640536785125732,CB,42
2.1897294521331787,FS,42
4.818992614746094,SS,42
1.2492971420288086,CB,42
0.3847573399543762,FS,42
0.5028268098831177,CB,42
1.0854548215866089,FS,42
1.0634580850601196,CB,42
1.4261225461959839,FS,42
0.972944974899292,CB,42
1.2984198331832886,FS,42
0.7688976526260376,SS,42
1.486707091331482,CB,42
2.6111602783203125,FS,42
2.603107213973999,CB,42
2.6147780418395996,FS,42
3.3493502140045166,FS,42
2.7599925994873047,SS,42
2.411764144897461,CB,42
2.2781083583831787,CB,42
0.9882466793060303,SS,42
2.681225061416626,FS,42
0.8939859867095947,CB,42
1.9102617502212524,FS,42
1.0128096342086792,CB,42
0.5433384776115417,SS,42
0.045061349868774414,FS,42
0.38956061005592346,CB,42
0.4714205861091614,CB,42
1.5025149583816528,CB,42
1.0011637210845947,SS,42
1.3588711023330688,FS,42
1.3542718887329102,CB,42
2.0097568035125732,CB,42
4.714323997497559,SS,42
0.7947181463241577,FS,42
3.3279857635498047,CB,42
0.871834933757782,FS,42
0.6720673441886902,FS,42
1.8987653255462646,CB,42
